model,manufacture,color,msrp,engine.cylinder,engine.stroke,displacement,bore,stroke,comp.ratio,starter,transmission,lubricator,final.drive,cooling,clutch,ignition,frame,front.suspension,rear.suspension,front.brake,rear.brake,wheelbase,seat.height,overall.length,overall.width,overall.height,clearance,fuel.cap,total.weight
SuzukiDR200SE,Suzuki,yellow,3899,1,4,199,66,58,9,,5,wet sump,520 chain,,,digital,,telescopic fork,link type,disc,drum,55.3,31.9,84.9,31.7,46.7,10.2,3.4,249
SuzukiDR650SE,Suzuki,blue/white,4999,1,4,644,100,82,10,,5,wet sump,525 chain,air/oil,,digital,,telescopic fork,link type,disc,disc,58.7,34.8,88.8,34.1,47,10.4,3.4,324
SuzukiDR650SE,Suzuki,yellow,4999,1,4,644,100,82,10,,5,wet sump,525 chain,air/oil,,digital,,telescopic fork,link type,disc,disc,58.7,34.8,88.8,34.1,47,10.4,3.4,324
SuzukiDRZ110,Suzuki,yellow,1699,1,4,111,53,51,10,,3,wet sump,420 chain,air,auto,CD,,telescopic fork,link type,drum,drum,41.9,25.6,61.2,26,37.6,7.5,1,141.1
SuzukiDRZ125,Suzuki,yellow,2299,1,4,124,57,49,10,,5,wet sump,428 chain,air,,CDI,,telescopic fork,link type,drum,drum,49,30.5,72.2,30.3,41.7,10.2,1.7,174
SuzukiDRZ125L,Suzuki,yellow,2499,1,4,124,57,49,10,,5,wet sump,428 chain,air,,CDI,,telescopic fork,link type,disc,drum,50,32,74.2,30.3,43.1,11.4,1.7,176
SuzukiDRZ250,Suzuki,yellow,4699,1,4,249,73,60,10,,6,wet sump,chain,air/oil,,CDI,,telescopic fork,link type,disc,disc,57.3,35,84.6,34.6,47.4,11.8,2.8,253
SuzukiDRZ400E,Suzuki,yellow,5499,1,4,398,90,63,12,,5,wet sump,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,58.1,37.2,88,32.5,49,12.8,2.6,262
SuzukiDRZ400S,Suzuki,blue/white,5499,1,4,398,90,63,11,,5,dry sump,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,58.5,36.8,90.9,34.4,48.4,11.8,2.64,291
SuzukiDRZ400S,Suzuki,yellow,5499,1,4,398,90,63,11,,5,dry sump,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,58.5,36.8,90.9,34.4,48.4,11.8,2.64,291
